component,time frequency,stream,field name,long name,units,time averaging
atm,mon,cam.h0,BURDENBC,Black carbon aerosol burden,kg/m2,mean
atm,mon,cam.h0,BURDENDUST,Dust aerosol burden,kg/m2,mean
atm,mon,cam.h0,BURDENPOM,POM aerosol burden,kg/m2,mean
atm,mon,cam.h0,BURDENSEASALT,Seasalt aerosol burden,kg/m2,mean
atm,mon,cam.h0,BURDENSO4,Sulfate aerosol burden,kg/m2,mean
atm,mon,cam.h0,BURDENSOA,SOA aerosol burden,kg/m2,mean
atm,mon,cam.h0,CCN3,CCN concentration at S=0.1%,#/cm3,mean
atm,mon,cam.h0,CDNUMC,Vertically-integrated droplet concentration,#/m2,mean
atm,mon,cam.h0,CLDHGH,Vertically-integrated high cloud,fraction,mean
atm,mon,cam.h0,CLDICE,Grid box averaged cloud ice amount,kg/kg,mean
atm,mon,cam.h0,CLDLIQ,Grid box averaged cloud liquid amount,kg/kg,mean
atm,mon,cam.h0,CLDLOW,Vertically-integrated low cloud,fraction,mean
atm,mon,cam.h0,CLDMED,Vertically-integrated mid-level cloud,fraction,mean
atm,mon,cam.h0,CLDTOT,Vertically-integrated total cloud,fraction,mean
atm,mon,cam.h0,CLOUD,Cloud fraction,fraction,mean
atm,mon,cam.h0,CO2,CO2,kg/kg,mean
atm,mon,cam.h0,CO2_FFF,CO2_FFF,kg/kg,mean
atm,mon,cam.h0,CO2_LND,CO2_LND,kg/kg,mean
atm,mon,cam.h0,CO2_OCN,CO2_OCN,kg/kg,mean
atm,mon,cam.h0,DCQ,Q tendency due to moist processes,kg/kg/s,mean
atm,mon,cam.h0,dst_a1DDF,dst_a1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,dst_a1_logm,dst_a1 log concentration,kg/kg,mean
atm,mon,cam.h0,dst_a1_logv,dst_a1 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,dst_a1SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,dst_a1_SRF,dst_a1 in bottom layer,kg/kg,mean
atm,mon,cam.h0,dst_a3DDF,dst_a3 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,dst_a3_logm,dst_a3 log concentration,kg/kg,mean
atm,mon,cam.h0,dst_a3_logv,dst_a3 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,dst_a3SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,dst_a3_SRF,dst_a3 in bottom layer,kg/kg,mean
atm,mon,cam.h0,dst_c1DDF,dst_c1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,dst_c1,dst_c1 in cloud water,kg/kg,mean
atm,mon,cam.h0,dst_c1SFWET,dst_c1 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,dst_c3DDF,dst_c3 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,dst_c3,dst_c3 in cloud water,kg/kg,mean
atm,mon,cam.h0,dst_c3SFWET,dst_c3 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,DTCOND,T tendency - moist processes,K/s,mean
atm,mon,cam.h0,DTV,T vertical diffusion,K/s,mean
atm,mon,cam.h0,EXTINCT,Aerosol extinction,/m,mean
atm,mon,cam.h0,FICE,Fractional ice content within cloud,fraction,mean
atm,mon,cam.h0,FLDS,Downwelling longwave flux at surface,W/m2,mean
atm,mon,cam.h0,FLNSC,Clearsky net longwave flux at surface,W/m2,mean
atm,mon,cam.h0,FLNS,Net longwave flux at surface,W/m2,mean
atm,mon,cam.h0,FLNTC,Clearsky net longwave flux at top of model,W/m2,mean
atm,mon,cam.h0,FLNT,Net longwave flux at top of model,W/m2,mean
atm,mon,cam.h0,FLUTC,Clearsky upwelling longwave flux at top of model,W/m2,mean
atm,mon,cam.h0,FLUT,Upwelling longwave flux at top of model,W/m2,mean
atm,mon,cam.h0,FREQI,Fractional occurance of ice,fraction,mean
atm,mon,cam.h0,FREQL,Fractional occurance of liquid,fraction,mean
atm,mon,cam.h0,FREQR,Fractional occurance of rain,fraction,mean
atm,mon,cam.h0,FREQS,Fractional occurance of snow,fraction,mean
atm,mon,cam.h0,FSDSC,Clearsky downwelling solar flux at surface,W/m2,mean
atm,mon,cam.h0,FSDS,Downwelling solar flux at surface,W/m2,mean
atm,mon,cam.h0,FSNSC,Clearsky net solar flux at surface,W/m2,mean
atm,mon,cam.h0,FSNS,Net solar flux at surface,W/m2,mean
atm,mon,cam.h0,FSNTC,Clearsky net solar flux at top of model,W/m2,mean
atm,mon,cam.h0,FSNT,Net solar flux at top of model,W/m2,mean
atm,mon,cam.h0,FSNTOAC,Clearsky net solar flux at top of atmosphere,W/m2,mean
atm,mon,cam.h0,FSNTOA,Net solar flux at top of atmosphere,W/m2,mean
atm,mon,cam.h0,ICEFRAC,Fraction of sfc area covered by sea-ice,fraction,mean
atm,mon,cam.h0,ICIMR,Prognostic in-cloud ice mixing ratio,kg/kg,mean
atm,mon,cam.h0,ICLDIWP,In-cloud ice water path,kg/m2,mean
atm,mon,cam.h0,ICLDTWP,In-cloud cloud total water path (liquid and ice),kg/m2,mean
atm,mon,cam.h0,ICWMR,Prognostic in-cloud water mixing ratio,kg/kg,mean
atm,mon,cam.h0,IWC,Grid box average ice water content,kg/m3,mean
atm,mon,cam.h0,LANDFRAC,Fraction of sfc area covered by land,fraction,mean
atm,mon,cam.h0,LHFLX,Surface latent heat flux,W/m2,mean
atm,mon,cam.h0,LWCF,Longwave cloud forcing,W/m2,mean
atm,mon,cam.h0,ncl_a1DDF,ncl_a1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,ncl_a1_logm,ncl_a1 log concentration,kg/kg,mean
atm,mon,cam.h0,ncl_a1_logv,ncl_a1 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,ncl_a1SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,ncl_a2DDF,ncl_a2 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,ncl_a2_logm,ncl_a2 log concentration,kg/kg,mean
atm,mon,cam.h0,ncl_a2_logv,ncl_a2 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,ncl_a2SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,ncl_a3DDF,ncl_a3 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,ncl_a3_logm,ncl_a3 log concentration,kg/kg,mean
atm,mon,cam.h0,ncl_a3_logv,ncl_a3 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,ncl_a3SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,ncl_c1DDF,ncl_c1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,ncl_c1,ncl_c1 in cloud water,kg/kg,mean
atm,mon,cam.h0,ncl_c1SFWET,ncl_c1 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,ncl_c2DDF,ncl_c2 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,ncl_c2,ncl_c2 in cloud water,kg/kg,mean
atm,mon,cam.h0,ncl_c2SFWET,ncl_c2 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,ncl_c3DDF,ncl_c3 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,ncl_c3,ncl_c3 in cloud water,kg/kg,mean
atm,mon,cam.h0,ncl_c3SFWET,ncl_c3 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,num_a1DDF,num_a1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,num_a1_logm,num_a1 log concentration,kg/kg,mean
atm,mon,cam.h0,num_a1_logv,num_a1 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,num_a1SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,num_a2DDF,num_a2 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,num_a2_logm,num_a2 log concentration,kg/kg,mean
atm,mon,cam.h0,num_a2_logv,num_a2 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,num_a2SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,num_a3DDF,num_a3 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,num_a3_logm,num_a3 log concentration,kg/kg,mean
atm,mon,cam.h0,num_a3_logv,num_a3 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,num_a3SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,num_c1DDF,num_c1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,num_c1,num_c1 in cloud water,kg/kg,mean
atm,mon,cam.h0,num_c1SFWET,num_c1 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,num_c2DDF,num_c2 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,num_c2,num_c2 in cloud water,kg/kg,mean
atm,mon,cam.h0,num_c2SFWET,num_c2 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,num_c3DDF,num_c3 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,num_c3,num_c3 in cloud water,kg/kg,mean
atm,mon,cam.h0,num_c3SFWET,num_c3 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,NUMICE,Grid box averaged cloud ice number,kg/kg,mean
atm,mon,cam.h0,NUMLIQ,Grid box averaged cloud liquid number,kg/kg,mean
atm,mon,cam.h0,OCNFRAC,Fraction of sfc area covered by ocean,fraction,mean
atm,mon,cam.h0,OMEGAT,Vertical heat flux,K Pa/s,mean
atm,mon,cam.h0,OMEGA,Vertical velocity (pressure),Pa/s,mean
atm,mon,cam.h0,PBLH,PBL height,m,mean
atm,mon,cam.h0,PHIS,Surface geopotential,m2/s2,mean
atm,mon,cam.h0,pom_a1DDF,pom_a1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,pom_a1_logm,pom_a1 log concentration,kg/kg,mean
atm,mon,cam.h0,pom_a1_logv,pom_a1 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,pom_a1SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,pom_a1_SRF,pom_a1 in bottom layer,kg/kg,mean
atm,mon,cam.h0,pom_c1DDF,pom_c1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,pom_c1,pom_c1 in cloud water,kg/kg,mean
atm,mon,cam.h0,pom_c1SFWET,pom_c1 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,PRECC,Convective precipitation rate (liq + ice),m/s,mean
atm,mon,cam.h0,PRECL,Large-scale (stable) precipitation rate (liq + ice),m/s,mean
atm,mon,cam.h0,PRECSC,Convective snow rate (water equivalent),m/s,mean
atm,mon,cam.h0,PRECSL,Large-scale (stable) snow rate (water equivalent),m/s,mean
atm,mon,cam.h0,PSL,Sea level pressure,Pa,mean
atm,mon,cam.h0,PS,Surface pressure,Pa,mean
atm,mon,cam.h0,QFLX,Surface water flux,kg/m2/s,mean
atm,mon,cam.h0,QRL,Longwave heating rate,K/s,mean
atm,mon,cam.h0,QRS,Solar heating rate,K/s,mean
atm,mon,cam.h0,Q,Specific humidity,kg/kg,mean
atm,mon,cam.h0,RELHUM,Relative humidity,percent,mean
atm,mon,cam.h0,SFCO2,CO2 surface flux,kg/m2/s,mean
atm,mon,cam.h0,SFCO2_FFF,CO2_FFF surface flux,kg/m2/s,mean
atm,mon,cam.h0,SFCO2_LND,CO2_LND surface flux,kg/m2/s,mean
atm,mon,cam.h0,SFCO2_OCN,CO2_OCN surface flux,kg/m2/s,mean
atm,mon,cam.h0,SHFLX,Surface sensible heat flux,W/m2,mean
atm,mon,cam.h0,SNOWHICE,Water equivalent snow depth,m,mean
atm,mon,cam.h0,SNOWHLND,Water equivalent snow depth,m,mean
atm,mon,cam.h0,so4_a1DDF,so4_a1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,so4_a1_logm,so4_a1 log concentration,kg/kg,mean
atm,mon,cam.h0,so4_a1_logv,so4_a1 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,so4_a1SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,so4_a1_SRF,so4_a1 in bottom layer,kg/kg,mean
atm,mon,cam.h0,so4_a2DDF,so4_a2 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,so4_a2_logm,so4_a2 log concentration,kg/kg,mean
atm,mon,cam.h0,so4_a2_logv,so4_a2 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,so4_a2SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,so4_a2_SRF,so4_a2 in bottom layer,kg/kg,mean
atm,mon,cam.h0,so4_a3DDF,so4_a3 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,so4_a3_logm,so4_a3 log concentration,kg/kg,mean
atm,mon,cam.h0,so4_a3_logv,so4_a3 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,so4_a3SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,so4_a3_SRF,so4_a3 in bottom layer,kg/kg,mean
atm,mon,cam.h0,so4_c1DDF,so4_c1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,so4_c1SFWET,so4_c1 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,so4_c1,so4_c1 in cloud water,kg/kg,mean
atm,mon,cam.h0,so4_c2DDF,so4_c2 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,so4_c2SFWET,so4_c2 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,so4_c2,so4_c2 in cloud water,kg/kg,mean
atm,mon,cam.h0,so4_c3DDF,so4_c3 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,so4_c3SFWET,so4_c3 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,so4_c3,so4_c3 in cloud water,kg/kg,mean
atm,mon,cam.h0,soa_a1DDF,soa_a1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,soa_a1_logm,soa_a1 log concentration,kg/kg,mean
atm,mon,cam.h0,soa_a1_logv,soa_a1 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,soa_a1SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,soa_a1_SRF,soa_a1 in bottom layer,kg/kg,mean
atm,mon,cam.h0,soa_a2DDF,soa_a2 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,soa_a2_logm,soa_a2 log concentration,kg/kg,mean
atm,mon,cam.h0,soa_a2_logv,soa_a2 log^2 concentration,kg/kg,mean
atm,mon,cam.h0,soa_a2SFWET,Wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,soa_a2_SRF,soa_a2 in bottom layer,kg/kg,mean
atm,mon,cam.h0,soa_c1DDF,soa_c1 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,soa_c1SFWET,soa_c1 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,soa_c1,soa_c1 in cloud water,kg/kg,mean
atm,mon,cam.h0,soa_c2DDF,soa_c2 dry deposition flux at bottom (grav + turb),kg/m2/s,mean
atm,mon,cam.h0,soa_c2SFWET,soa_c2 wet deposition flux at surface,kg/m2/s,mean
atm,mon,cam.h0,soa_c2,soa_c2 in cloud water,kg/kg,mean
atm,mon,cam.h0,SOLIN,Solar insolation,W/m2,mean
atm,mon,cam.h0,SRFRAD,Net radiative flux at surface,W/m2,mean
atm,mon,cam.h0,SWCF,Shortwave cloud forcing,W/m2,mean
atm,mon,cam.h0,TAUX,Zonal surface stress,N/m2,mean
atm,mon,cam.h0,TAUY,Meridional surface stress,N/m2,mean
atm,mon,cam.h0,TGCLDIWP,Total grid-box cloud ice water path,kg/m2,mean
atm,mon,cam.h0,TGCLDLWP,Total grid-box cloud liquid water path,kg/m2,mean
atm,mon,cam.h0,TMCO2,CO2 column burden,kg/m2,mean
atm,mon,cam.h0,TMCO2_FFF,CO2_FFF column burden,kg/m2,mean
atm,mon,cam.h0,TMCO2_LND,CO2_LND column burden,kg/m2,mean
atm,mon,cam.h0,TMCO2_OCN,CO2_OCN column burden,kg/m2,mean
atm,mon,cam.h0,TMQ,Total (vertically integrated) precipitable water,kg/m2,mean
atm,mon,cam.h0,TOT_CLD_VISTAU,Total gbx cloud extinction visible sw optical depth,1,mean
atm,mon,cam.h0,TREFHT,Reference height temperature,K,mean
atm,mon,cam.h0,TROP_P,Tropopause Pressure,Pa,mean
atm,mon,cam.h0,TROP_T,Tropopause Temperature,K,mean
atm,mon,cam.h0,TS,Surface temperature (radiative),K,mean
atm,mon,cam.h0,T,Temperature,K,mean
atm,mon,cam.h0,U10,10m wind speed,m/s,mean
atm,mon,cam.h0,UQ,Zonal water transport,m/skg/kg,mean
atm,mon,cam.h0,UU,Zonal velocity squared,m2/s2,mean
atm,mon,cam.h0,U,Zonal wind,m/s,mean
atm,mon,cam.h0,VD01,Vertical diffusion of Q,kg/kg/s,mean
atm,mon,cam.h0,V,Meridional wind,m/s,mean
atm,mon,cam.h0,VQ,Meridional water transport,m/skg/kg,mean
atm,mon,cam.h0,VT,Meridional heat transport,K m/s,mean
atm,mon,cam.h0,VU,Meridional flux of zonal momentum,m2/s2,mean
atm,mon,cam.h0,VV,Meridional velocity squared,m2/s2,mean
atm,mon,cam.h0,WSPDSRFMX,Horizontal total wind speed maximum at the surface,m/s,mean
atm,mon,cam.h0,WSUB,Diagnostic sub-grid vertical velocity,m/s,mean
atm,mon,cam.h0,Z3,Geopotential Height (above sea level),m,mean
atm,mon,cam.h0,TREFHTMN,Minimum reference height temperature over output period,K,minimum
atm,mon,cam.h0,TSMN,Minimum surface temperature over output period,K,minimum
atm,day,cam.h1,TREFHTMX,Maximum reference height temperature over output period,K,maximum
atm,day,cam.h1,FLNSC,Clearsky net longwave flux at surface,W/m2,mean
atm,day,cam.h1,FLNS,Net longwave flux at surface,W/m2,mean
atm,day,cam.h1,FLUT,Upwelling longwave flux at top of model,W/m2,mean
atm,day,cam.h1,FSNSC,Clearsky net solar flux at surface,W/m2,mean
atm,day,cam.h1,FSNS,Net solar flux at surface,W/m2,mean
atm,day,cam.h1,FSNTOA,Net solar flux at top of atmosphere,W/m2,mean
atm,day,cam.h1,ICEFRAC,Fraction of sfc area covered by sea-ice,fraction,mean
atm,day,cam.h1,LHFLX,Surface latent heat flux,W/m2,mean
atm,day,cam.h1,PRECL,Large-scale (stable) precipitation rate (liq + ice),m/s,mean
atm,day,cam.h1,PRECSC,Convective snow rate (water equivalent),m/s,mean
atm,day,cam.h1,PRECSL,Large-scale (stable) snow rate (water equivalent),m/s,mean
atm,day,cam.h1,PRECTMX,Maximum (convective and large-scale) precipitation rate (liq+ice),m/s,mean
atm,day,cam.h1,PRECT,Total (convective and large-scale) precipitation rate (liq + ice),m/s,mean
atm,day,cam.h1,PSL,Sea level pressure,Pa,mean
atm,day,cam.h1,Q200,Specific Humidity at 200 mbar pressure surface,kg/kg,mean
atm,day,cam.h1,Q500,Specific Humidity at 500 mbar pressure surface,kg/kg,mean
atm,day,cam.h1,Q850,Specific Humidity at 850 mbar pressure surface,kg/kg,mean
atm,day,cam.h1,QBOT,Lowest model level water vapor mixing ratio,kg/kg,mean
atm,day,cam.h1,SHFLX,Surface sensible heat flux,W/m2,mean
atm,day,cam.h1,T010,Temperature at 10 mbar pressure surface,K,mean
atm,day,cam.h1,T200,Temperature at 200 mbar pressure surface,K,mean
atm,day,cam.h1,T500,Temperature at 500 mbar pressure surface,K,mean
atm,day,cam.h1,T850,Temperature at 850 mbar pressure surface,K,mean
atm,day,cam.h1,TAUX,Zonal surface stress,N/m2,mean
atm,day,cam.h1,TAUY,Meridional surface stress,N/m2,mean
atm,day,cam.h1,TMQ,Total (vertically integrated) precipitable water,kg/m2,mean
atm,day,cam.h1,TREFHT,Reference height temperature,K,mean
atm,day,cam.h1,TS,Surface temperature (radiative),K,mean
atm,day,cam.h1,U010,Zonal wind at 10 mbar pressure surface,m/s,mean
atm,day,cam.h1,U200,Zonal wind at 200 mbar pressure surface,m/s,mean
atm,day,cam.h1,U500,Zonal wind at 500 mbar pressure surface,m/s,mean
atm,day,cam.h1,U850,Zonal wind at 850 mbar pressure surface,m/s,mean
atm,day,cam.h1,UBOT,Lowest model level zonal wind,m/s,mean
atm,day,cam.h1,V200,Meridional wind at 200 mbar pressure surface,m/s,mean
atm,day,cam.h1,V500,Meridional wind at 500 mbar pressure surface,m/s,mean
atm,day,cam.h1,V850,Meridional wind at 850 mbar pressure surface,m/s,mean
atm,day,cam.h1,VBOT,Lowest model level meridional wind,m/s,mean
atm,day,cam.h1,WSPDSRFAV,Horizontal total wind speed average at the surface,m/s,mean
atm,day,cam.h1,Z050,Geopotential Z at 50 mbar pressure surface,m,mean
atm,day,cam.h1,Z500,Geopotential Z at 500 mbar pressure surface,m,mean
atm,day,cam.h1,TREFHTMN,Minimum reference height temperature over output period,K,minimum
atm,hr6,cam.h2,CLDHGH,Vertically-integrated high cloud,fraction,mean
atm,hr6,cam.h2,CLDLOW,Vertically-integrated low cloud,fraction,mean
atm,hr6,cam.h2,CLDMED,Vertically-integrated mid-level cloud,fraction,mean
atm,hr6,cam.h2,CLDTOT,Vertically-integrated total cloud,fraction,mean
atm,hr6,cam.h2,CLOUD,Cloud fraction,fraction,mean
atm,hr6,cam.h2,FLDS,Downwelling longwave flux at surface,W/m2,mean
atm,hr6,cam.h2,FLNS,Net longwave flux at surface,W/m2,mean
atm,hr6,cam.h2,FSDS,Downwelling solar flux at surface,W/m2,mean
atm,hr6,cam.h2,FSNS,Net solar flux at surface,W/m2,mean
atm,hr6,cam.h2,PRECT,Total (convective and large-scale) precipitation rate (liq + ice),m/s,mean
atm,hr6,cam.h2,TGCLDIWP,Total grid-box cloud ice water path,kg/m2,mean
atm,hr6,cam.h2,TGCLDLWP,Total grid-box cloud liquid water path,kg/m2,mean
atm,hr6,cam.h2,TOT_CLD_VISTAU,Total gbx cloud extinction visible sw optical depth,1,mean
atm,hr6,cam.h2,PSL,Sea level pressure,Pa,instantaneous
atm,hr6,cam.h2,PS,Surface pressure,Pa,instantaneous
atm,hr6,cam.h2,QREFHT,Reference height humidity,kg/kg,instantaneous
atm,hr6,cam.h2,Q,Specific humidity,kg/kg,instantaneous
atm,hr6,cam.h2,TREFHT,Reference height temperature,K,instantaneous
atm,hr6,cam.h2,TROP_P,Tropopause Pressure,Pa,instantaneous
atm,hr6,cam.h2,TROP_T,Tropopause Temperature,K,instantaneous
atm,hr6,cam.h2,TS,Surface temperature (radiative),K,instantaneous
atm,hr6,cam.h2,T,Temperature,K,instantaneous
atm,hr6,cam.h2,U,Zonal wind,m/s,instantaneous
atm,hr6,cam.h2,V,Meridional wind,m/s,instantaneous
atm,hr6,cam.h2,Z3,Geopotential Height (above sea level),m,instantaneous
